dataset,seed,task,family,model,variant,n_samples,n_features,status,error_message,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type,epoch,train_loss,train_metric,val_metric,grad_norm,grad_norm_max,train_val_gap,prediction_mean,prediction_std,has_gate,gate_mean,gate_median,gate_sparsity,best_epoch,best_val_metric,final_val_metric,final_vs_best,early_stopped,effective_training_status
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,1,1.2249374389648438,0.4803921568627451,0.4854368932038835,30.396870773922462,47.39325702552988,-0.005044736341138389,0.18549969792366028,0.0027971630915999413,True,0.2734120786190033,0.2707465887069702,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,2,0.830088754494985,0.5196078431372549,0.5145631067961165,3.7939413540635187,7.081458633483069,0.005044736341138445,0.5342050194740295,0.0013709040358662605,True,0.2730591297149658,0.27561911940574646,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,3,0.7240201234817505,0.5196078431372549,0.5145631067961165,1.1015468275384226,1.623080863858606,0.005044736341138445,0.6699172258377075,0.0005981253925710917,True,0.27007028460502625,0.26952260732650757,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,4,0.7361047863960266,0.5196078431372549,0.5145631067961165,1.2684353359195775,1.8558621123910748,0.005044736341138445,0.6491018533706665,0.0003996468731202185,True,0.26660194993019104,0.2625159025192261,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,5,0.7190563678741455,0.5196078431372549,0.5145631067961165,0.9273146308750685,1.5188404620329192,0.005044736341138445,0.5787504315376282,0.0003720467211678624,True,0.2613491117954254,0.2555440068244934,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,6,0.6984138290087382,0.5196078431372549,0.5145631067961165,0.48785391434954145,0.743984151919317,0.005044736341138445,0.5107635855674744,0.00036615467979572713,True,0.2540893852710724,0.24537527561187744,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,7,0.6975328723589579,0.4803921568627451,0.4854368932038835,0.25596386341595406,0.5150658260582188,-0.005044736341138389,0.4710753262042999,0.0003409900818951428,True,0.24530895054340363,0.23303180932998657,0.05,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,8,0.7038012941678365,0.4803921568627451,0.4854368932038835,0.6056011409832677,1.1879944453533895,-0.005044736341138389,0.465158075094223,0.0002980092540383339,True,0.2355630099773407,0.21943053603172302,0.1,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,9,0.6997193098068237,0.4803921568627451,0.4854368932038835,0.3534794738380476,0.6436268237455077,-0.005044736341138389,0.4850650131702423,0.00024711675359867513,True,0.22523704171180725,0.2052643895149231,0.2,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,10,0.6961116194725037,0.5196078431372549,0.5145631067961165,0.2853918924734933,0.40774694651131393,0.005044736341138445,0.5080804824829102,0.00020713605044875294,True,0.21456488966941833,0.1919083595275879,0.3,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,11,0.6939748922983805,0.5196078431372549,0.5145631067961165,0.3352875239650313,0.5749986495596467,0.005044736341138445,0.5251195430755615,0.0001793024130165577,True,0.20376300811767578,0.17979663610458374,0.3,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,12,0.6965463161468506,0.5196078431372549,0.5145631067961165,0.24126373553384706,0.6281323248074813,0.005044736341138445,0.5379891991615295,0.00015815955703146756,True,0.19304315745830536,0.16806191205978394,0.35,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,1,1.4527992010116577,0.5196078431372549,0.5145631067961165,12.971652492900091,21.088559836855044,0.005044736341138445,0.831990122795105,6.904435576871037e-05,True,0.24080173671245575,0.22436469793319702,0.0,1,0.5145631067961165,0.4854368932038835,0.029126213592232997,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,512,20,ok,,tuned_tst_benchmark,,,,,,,,,,,2,0.7943194905916849,0.4803921568627451,0.4854368932038835,2.276355640348092,3.831127615730767,-0.005044736341138389,0.4199185371398926,7.442485366482288e-05,True,0.20346109569072723,0.18983620405197144,0.0,1,0.5145631067961165,0.4854368932038835,0.029126213592232997,True,early_stopped_cleanly
