dataset,seed,task,family,model,variant,n_samples,n_features,status,error_message,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type,epoch,train_loss,train_metric,val_metric,grad_norm,grad_norm_max,train_val_gap,prediction_mean,prediction_std,has_gate,gate_mean,gate_median,gate_sparsity,best_epoch,best_val_metric,final_val_metric,final_vs_best,early_stopped,effective_training_status
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,2,0.3328535735607147,0.9104234527687296,0.9073170731707317,0.43365866215591103,0.7739104259342461,0.003106379597997866,0.07156862318515778,0.00027996409335173666,True,0.18444208800792694,0.1602517068386078,0.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,3,0.31601116955280306,0.9104234527687296,0.9073170731707317,0.2067072298724562,0.40422181761819614,0.003106379597997866,0.09457762539386749,0.00019035118748433888,True,0.1454826444387436,0.12828275561332703,0.25,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,4,0.30782530605793,0.9104234527687296,0.9073170731707317,0.19735919261573484,0.3932017261854932,0.003106379597997866,0.10586607456207275,0.00013845300418324769,True,0.11625590175390244,0.0937960147857666,0.55,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,5,0.30502635836601255,0.9104234527687296,0.9073170731707317,0.222162914502275,0.3846550561550748,0.003106379597997866,0.10507352650165558,0.00010484155063750222,True,0.09611104428768158,0.07891784608364105,0.7,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,6,0.3079626649618149,0.9104234527687296,0.9073170731707317,0.23602659236168458,0.4349562628484823,0.003106379597997866,0.09342417120933533,7.916216418379918e-05,True,0.08268200606107712,0.07148820161819458,0.8,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,7,0.3038776755332947,0.9104234527687296,0.9073170731707317,0.13087520053690532,0.24865937345846578,0.003106379597997866,0.08746058493852615,6.673891039099544e-05,True,0.07388952374458313,0.06748160719871521,0.9,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,8,0.3006856232881546,0.9104234527687296,0.9073170731707317,0.2318150775611282,0.555107734207585,0.003106379597997866,0.08858007192611694,6.293717888183892e-05,True,0.06849898397922516,0.06527265906333923,0.95,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,9,0.3034320712089539,0.9104234527687296,0.9073170731707317,0.09607506498569832,0.14612806882290685,0.003106379597997866,0.08722735196352005,6.0289763496257365e-05,True,0.06535826623439789,0.06336323916912079,0.95,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,10,0.3032929182052612,0.9104234527687296,0.9073170731707317,0.2076780616607467,0.41866650306622816,0.003106379597997866,0.08826502412557602,6.072476026020013e-05,True,0.06354746967554092,0.063134104013443,0.95,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,11,0.3042074739933014,0.9104234527687296,0.9073170731707317,0.16024053149080805,0.24963090748618377,0.003106379597997866,0.09155895560979843,6.394658703356981e-05,True,0.06261228024959564,0.06330478191375732,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,1,0.42446342706680296,0.9104234527687296,0.9073170731707317,2.0934667951574526,3.7772530904979504,0.003106379597997866,0.15602712333202362,8.795643225312233e-05,True,0.18373994529247284,0.18375614285469055,0.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,2,0.31092502176761627,0.9104234527687296,0.9073170731707317,0.24969281796390236,0.5406172439087367,0.003106379597997866,0.053207434713840485,4.752493168780347e-06,True,0.12311204522848129,0.12317299842834473,0.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,3,0.3121955871582031,0.9104234527687296,0.9073170731707317,0.3298185440553049,0.6049925489867711,0.003106379597997866,0.07767869532108307,2.7470825898490148e-06,True,0.0848279520869255,0.08490440249443054,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,4,0.30093389451503755,0.9104234527687296,0.9073170731707317,0.12769285234902483,0.2813001827185867,0.003106379597997866,0.10875929147005081,2.604918790893862e-06,True,0.06654836237430573,0.06662799417972565,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,5,0.3049419164657593,0.9104234527687296,0.9073170731707317,0.18667610000125787,0.3691885609078818,0.003106379597997866,0.10126372426748276,1.788357735676982e-06,True,0.05740015581250191,0.057473767548799515,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,6,0.3017148733139038,0.9104234527687296,0.9073170731707317,0.08713317790091649,0.1517021830182096,0.003106379597997866,0.08743342012166977,1.273641146326554e-06,True,0.05256316810846329,0.052632931619882584,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,7,0.30069288015365603,0.9104234527687296,0.9073170731707317,0.07129613560495159,0.17898540301589608,0.003106379597997866,0.0852641612291336,1.1150757472933037e-06,True,0.04999586567282677,0.050062935799360275,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,8,0.30271646082401277,0.9104234527687296,0.9073170731707317,0.19620161999484298,0.4906455011035478,0.003106379597997866,0.0874810442328453,1.1152086472066003e-06,True,0.04871091619133949,0.04877757281064987,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,9,0.30464895963668825,0.9104234527687296,0.9073170731707317,0.25574453482291976,0.5509811680796843,0.003106379597997866,0.09924377501010895,1.297161475122266e-06,True,0.04818440228700638,0.048251859843730927,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
synthetic_axis_aligned,42,classification,ablation,TST-v2-GateFourier,TST-v2-GateFourier,1024,20,ok,,tuned_tst_benchmark,,,,,,,,,,,10,0.30144802331924436,0.9104234527687296,0.9073170731707317,0.08390991329480288,0.10896887013474228,0.003106379597997866,0.09355706721544266,1.2009172678517643e-06,True,0.04811880737543106,0.04818710312247276,1.0,1,0.9073170731707317,0.9073170731707317,0.0,True,early_stopped_cleanly
