dataset,seed,family,model,status,error_message,n_samples,n_features,epoch,train_loss,train_metric,val_metric,grad_norm,grad_norm_max,train_val_gap,prediction_mean,prediction_std,has_gate,gate_mean,gate_median,gate_sparsity,best_epoch,best_val_metric,final_val_metric,final_vs_best,early_stopped,effective_training_status
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,1,1.0049302975336711,0.38562091503267976,0.4368932038834951,10.27963754940169,14.632655916373908,-0.05127228885081536,0.42166867852211,0.06525377184152603,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,2,0.7142747441927592,0.5130718954248366,0.5145631067961165,2.7031219082033178,2.830722111059541,-0.0014912113712799435,0.3157599866390228,0.02681901305913925,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,3,0.6918197274208069,0.7516339869281046,0.7766990291262136,1.4788764530757321,2.65228980375706,-0.02506504219810901,0.5176423788070679,0.034301549196243286,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,4,0.6605965693791708,0.5915032679738562,0.5631067961165048,1.3574668985845346,1.9445981169557762,0.02839647185735139,0.5786990523338318,0.04685287922620773,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,5,0.6269270579020182,0.7875816993464052,0.7961165048543689,1.510626373701468,1.69254370753867,-0.008534805507963705,0.49551287293434143,0.08681364357471466,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,6,0.5506566166877747,0.8758169934640523,0.7961165048543689,1.878228925341478,2.3811799611091797,0.07970048860968337,0.41056743264198303,0.14472787082195282,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,7,0.4383540749549866,0.9215686274509803,0.9223300970873787,2.5320771103747206,2.8724223138459473,-0.0007614696363983375,0.4323875308036804,0.2443292886018753,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,8,0.31929529706637066,0.9705882352941176,0.9902912621359223,4.786774917832003,6.319603704737811,-0.019703026841804694,0.4546951651573181,0.3479166626930237,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,9,0.16879125436147055,0.9575163398692811,0.970873786407767,2.25726735104276,2.8944911482570537,-0.013357446538485918,0.4773919880390167,0.4089931845664978,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,10,0.11895423879226048,0.9607843137254902,0.970873786407767,6.8411160567330915,12.979159515582806,-0.010089472682276779,0.5096985697746277,0.4395674169063568,False,,,,18,1.0,1.0,0.0,False,underfit
synthetic_xor_2f,42,ablation,TST-v0,ok,,512,2,11,0.10064064711332321,0.9771241830065359,0.9902912621359223,6.410196809476338,13.36583269740809,-0.013167079129386416,0.4583055078983307,0.44616276025772095,False,,,,18,1.0,1.0,0.0,False,underfit
