model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type
TST,synthetic_xor,42,classification,ablation,TST-v0-tuned,ok,accuracy,0.492683,56.2598,0.0598,1024,20,outputs/benchmark_artifacts/synthetic_xor/seed_42/tst_v0_tuned,,,tuned_tst_benchmark,TST-v0,tst_v0_lr_1e-4,1e-4,val_accuracy,maximize,0.560976,1,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_xor,42,classification,ablation,TST-v1-Gate-tuned,ok,accuracy,0.487805,70.2065,0.0929,1024,20,outputs/benchmark_artifacts/synthetic_xor/seed_42/tst_v1_gate_tuned,,,tuned_tst_benchmark,TST-v1-Gate,tst_v1_gate_lr_1e-4,1e-4,val_accuracy,maximize,0.570732,1,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_xor,42,classification,ablation,TST-v2-GateFourier-tuned,ok,accuracy,0.512195,59.5849,0.0825,1024,20,outputs/benchmark_artifacts/synthetic_xor/seed_42/tst_v2_gate_fourier_tuned,,,tuned_tst_benchmark,TST-v2-GateFourier,tst_v2_gate_fourier_lr_1e-4,1e-4,val_accuracy,maximize,0.512195,1,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_xor,42,classification,ablation,TST-v3-MoE-tuned,ok,accuracy,0.512195,52.6205,0.0664,1024,20,outputs/benchmark_artifacts/synthetic_xor/seed_42/tst_v3_moe_tuned,,,tuned_tst_benchmark,TST-v3-MoE,tst_v3_moe_lr_1e-4,1e-4,val_accuracy,maximize,0.512195,2,3,"1e-4,3e-4,1e-3",lr_only
Linear/Ridge,synthetic_piecewise,42,regression,baseline,linear,ok,rmse,0.786671,0.046,0.0051,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Random Forest,synthetic_piecewise,42,regression,baseline,random_forest,ok,rmse,0.276584,0.5121,0.0124,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
Gradient Boosting,synthetic_piecewise,42,regression,baseline,gradient_boosting,ok,rmse,0.159973,0.4905,0.004,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
MLP,synthetic_piecewise,42,regression,baseline,mlp,ok,rmse,0.798763,0.1638,0.0054,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
LightGBM,synthetic_piecewise,42,regression,baseline,lightgbm,ok,rmse,0.215951,0.2403,0.011,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
CatBoost,synthetic_piecewise,42,regression,baseline,catboost,ok,rmse,0.178699,3.8133,0.0207,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
TST-v0,synthetic_piecewise,42,regression,ablation,TST-v0,ok,rmse,0.841531,24.9755,0.0354,1024,20,outputs/benchmark_artifacts/synthetic_piecewise/seed_42/tst_v0,,,tuned_tst_benchmark,,,,,,,,,,
TST-v1-Gate,synthetic_piecewise,42,regression,ablation,TST-v1-Gate,ok,rmse,0.843374,22.2902,0.0514,1024,20,outputs/benchmark_artifacts/synthetic_piecewise/seed_42/tst_v1_gate,,,tuned_tst_benchmark,,,,,,,,,,
TST-v2-GateFourier,synthetic_piecewise,42,regression,ablation,TST-v2-GateFourier,ok,rmse,0.840518,18.6716,0.0588,1024,20,outputs/benchmark_artifacts/synthetic_piecewise/seed_42/tst_v2_gate_fourier,,,tuned_tst_benchmark,,,,,,,,,,
TST-v3-MoE,synthetic_piecewise,42,regression,ablation,TST-v3-MoE,ok,rmse,0.84086,26.3407,0.0523,1024,20,outputs/benchmark_artifacts/synthetic_piecewise/seed_42/tst_v3_moe,,,tuned_tst_benchmark,,,,,,,,,,
FT-Transformer-style,synthetic_piecewise,42,regression,neural_baseline,local_ft_transformer,ok,rmse,0.778729,7.9845,0.0311,1024,20,,,,tuned_tst_benchmark,,,,,,,,,,
TST,synthetic_piecewise,42,regression,ablation,TST-v0-tuned,ok,rmse,0.80922,73.3414,0.047,1024,20,outputs/benchmark_artifacts/synthetic_piecewise/seed_42/tst_v0_tuned,,,tuned_tst_benchmark,TST-v0,tst_v0_lr_1e-4,1e-4,val_rmse,minimize,0.730693,20,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_piecewise,42,regression,ablation,TST-v1-Gate-tuned,ok,rmse,0.807562,95.022,0.0518,1024,20,outputs/benchmark_artifacts/synthetic_piecewise/seed_42/tst_v1_gate_tuned,,,tuned_tst_benchmark,TST-v1-Gate,tst_v1_gate_lr_1e-4,1e-4,val_rmse,minimize,0.730610,20,3,"1e-4,3e-4,1e-3",lr_only
TST,synthetic_piecewise,42,regression,ablation,TST-v2-GateFourier-tuned,ok,rmse,0.841314,82.2801,0.0722,1024,20,outputs/benchmark_artifacts/synthetic_piecewise/seed_42/tst_v2_gate_fourier_tuned,,,tuned_tst_benchmark,TST-v2-GateFourier,tst_v2_gate_fourier_lr_1e-4,1e-4,val_rmse,minimize,0.770566,19,3,"1e-4,3e-4,1e-3",lr_only
