dataset,seed,task,family,model,variant,n_samples,n_features,status,error_message,benchmark_mode,base_variant,selected_config_id,selected_lr,selection_metric,selection_mode,selection_score,selected_epoch,candidate_config_count,candidate_lrs,tuning_budget_type,epoch,train_loss,train_metric,val_metric,grad_norm,grad_norm_max,train_val_gap,prediction_mean,prediction_std,has_gate,gate_mean,gate_median,gate_sparsity,best_epoch,best_val_metric,final_val_metric,final_vs_best,early_stopped,effective_training_status
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,1,1.2552416721979778,0.4803921568627451,0.4854368932038835,30.87187865402016,47.39325780800246,-0.005044736341138389,0.18532265722751617,0.0026739654131233692,True,0.2447245866060257,0.2380577027797699,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,2,0.8532392779986063,0.5196078431372549,0.5145631067961165,3.9771839136096108,7.444886384570655,0.005044736341138445,0.5352222323417664,0.001204715808853507,True,0.2089756280183792,0.20294226706027985,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,3,0.7401712934176127,0.5196078431372549,0.5145631067961165,1.1225446904299925,1.6508508934750306,0.005044736341138445,0.6700363755226135,0.0004689944034907967,True,0.17323987185955048,0.16656291484832764,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,4,0.7450499534606934,0.5196078431372549,0.5145631067961165,1.2770069887976438,1.8691583746075913,0.005044736341138445,0.6478284001350403,0.0002822164387907833,True,0.14219991862773895,0.13466821610927582,0.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,5,0.7217052976290385,0.5196078431372549,0.5145631067961165,0.9196715220836232,1.5191620753077892,0.005044736341138445,0.5760942101478577,0.0002323102962691337,True,0.11630894988775253,0.10829216241836548,0.35,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,6,0.6976450085639954,0.5196078431372549,0.5145631067961165,0.4849380757098541,0.7269891050061703,0.005044736341138445,0.5078609585762024,0.00019056729797739536,True,0.09633705765008926,0.08930054306983948,0.75,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,7,0.6956300338109335,0.4803921568627451,0.4854368932038835,0.2778062778839346,0.5369562681136174,-0.005044736341138389,0.46930864453315735,0.00015871475625317544,True,0.08217449486255646,0.07728641480207443,0.95,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,8,0.7014187971750895,0.4803921568627451,0.4854368932038835,0.6170097304535481,1.1989217584267033,-0.005044736341138389,0.4652177095413208,0.00012762946425937116,True,0.07258279621601105,0.0692186951637268,0.95,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,9,0.6970258951187134,0.4803921568627451,0.4854368932038835,0.3513967250606456,0.6452796346199472,-0.005044736341138389,0.486710786819458,0.00010068299889098853,True,0.06606698036193848,0.06441757082939148,1.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
synthetic_xor,42,classification,ablation,TST-v1-Gate,TST-v1-Gate,512,20,ok,,default_benchmark,,,,,,,,,,,10,0.6934608419736227,0.5196078431372549,0.5145631067961165,0.28192070033487304,0.39107641679181177,0.005044736341138445,0.5102402567863464,8.189331856556237e-05,True,0.06166777014732361,0.06069973483681679,1.0,2,0.5145631067961165,0.5145631067961165,0.0,True,early_stopped_cleanly
