model,dataset,seed,task,family,variant,status,metric,score,fit_seconds,predict_seconds,n_samples,n_features,artifact_path,error_message,notes
TST-v2-GateFourier,synthetic_rotated,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.62439,14.587,0.036,1024,20,,,
TST-v3-MoE,synthetic_rotated,42,classification,ablation,TST-v3-MoE,ok,accuracy,0.62439,9.8408,0.0285,1024,20,,,
Linear/Ridge,synthetic_regime,42,regression,baseline,linear,ok,rmse,0.519227,0.0188,0.0032,1024,20,,,
Random Forest,synthetic_regime,42,regression,baseline,random_forest,ok,rmse,0.303688,0.2389,0.0055,1024,20,,,
Gradient Boosting,synthetic_regime,42,regression,baseline,gradient_boosting,ok,rmse,0.32562,0.257,0.002,1024,20,,,
MLP,synthetic_regime,42,regression,baseline,mlp,ok,rmse,0.412808,0.0684,0.0018,1024,20,,,
LightGBM,synthetic_regime,42,regression,baseline,lightgbm,ok,rmse,0.286742,0.0629,0.0062,1024,20,,,
CatBoost,synthetic_regime,42,regression,baseline,catboost,ok,rmse,0.209871,1.7382,0.0083,1024,20,,,
TST-v0,synthetic_regime,42,regression,ablation,TST-v0,ok,rmse,0.64934,16.6324,0.0251,1024,20,,,
TST-v1-Gate,synthetic_regime,42,regression,ablation,TST-v1-Gate,ok,rmse,0.648899,14.2,0.0321,1024,20,,,
TST-v2-GateFourier,synthetic_regime,42,regression,ablation,TST-v2-GateFourier,ok,rmse,0.649473,13.706,0.0336,1024,20,,,
TST-v3-MoE,synthetic_regime,42,regression,ablation,TST-v3-MoE,ok,rmse,0.565224,16.1596,0.0238,1024,20,,,
Linear/Ridge,synthetic_sparse_high_order,42,classification,baseline,linear,ok,accuracy,0.970732,0.0128,0.0017,1024,50,,,
Random Forest,synthetic_sparse_high_order,42,classification,baseline,random_forest,ok,accuracy,0.965854,0.0644,0.0032,1024,50,,,
Gradient Boosting,synthetic_sparse_high_order,42,classification,baseline,gradient_boosting,ok,accuracy,0.990244,0.5172,0.0024,1024,50,,,
MLP,synthetic_sparse_high_order,42,classification,baseline,mlp,ok,accuracy,0.960976,0.0666,0.0026,1024,50,,,
LightGBM,synthetic_sparse_high_order,42,classification,baseline,lightgbm,ok,accuracy,1.0,0.1011,0.0047,1024,50,,,
CatBoost,synthetic_sparse_high_order,42,classification,baseline,catboost,ok,accuracy,0.990244,3.2504,0.0033,1024,50,,,
TST-v0,synthetic_sparse_high_order,42,classification,ablation,TST-v0,ok,accuracy,0.965854,23.2076,0.0616,1024,50,,,
TST-v1-Gate,synthetic_sparse_high_order,42,classification,ablation,TST-v1-Gate,ok,accuracy,0.965854,21.1227,0.0666,1024,50,,,
TST-v2-GateFourier,synthetic_sparse_high_order,42,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.965854,29.0993,0.0654,1024,50,,,
TST-v3-MoE,synthetic_sparse_high_order,42,classification,ablation,TST-v3-MoE,ok,accuracy,0.965854,24.0524,0.0649,1024,50,,,
Linear/Ridge,synthetic_axis_aligned,43,classification,baseline,linear,ok,accuracy,0.946341,0.0379,0.0016,1024,20,,,
Random Forest,synthetic_axis_aligned,43,classification,baseline,random_forest,ok,accuracy,0.995122,0.0476,0.0032,1024,20,,,
Gradient Boosting,synthetic_axis_aligned,43,classification,baseline,gradient_boosting,ok,accuracy,0.990244,0.1109,0.003,1024,20,,,
MLP,synthetic_axis_aligned,43,classification,baseline,mlp,ok,accuracy,0.931707,0.0668,0.0015,1024,20,,,
LightGBM,synthetic_axis_aligned,43,classification,baseline,lightgbm,ok,accuracy,0.990244,0.0417,0.0044,1024,20,,,
CatBoost,synthetic_axis_aligned,43,classification,baseline,catboost,ok,accuracy,0.990244,2.0046,0.0076,1024,20,,,
TST-v0,synthetic_axis_aligned,43,classification,ablation,TST-v0,ok,accuracy,0.902439,6.0348,0.0247,1024,20,,,
TST-v1-Gate,synthetic_axis_aligned,43,classification,ablation,TST-v1-Gate,ok,accuracy,0.902439,6.0708,0.0257,1024,20,,,
TST-v2-GateFourier,synthetic_axis_aligned,43,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.902439,6.7394,0.0284,1024,20,,,
TST-v3-MoE,synthetic_axis_aligned,43,classification,ablation,TST-v3-MoE,ok,accuracy,0.902439,12.3058,0.0922,1024,20,,,
Linear/Ridge,synthetic_xor,43,classification,baseline,linear,ok,accuracy,0.463415,0.0378,0.0116,1024,20,,,
Random Forest,synthetic_xor,43,classification,baseline,random_forest,ok,accuracy,0.707317,0.2876,0.0073,1024,20,,,
Gradient Boosting,synthetic_xor,43,classification,baseline,gradient_boosting,ok,accuracy,0.795122,0.6569,0.0029,1024,20,,,
MLP,synthetic_xor,43,classification,baseline,mlp,ok,accuracy,0.8,0.1171,0.004,1024,20,,,
LightGBM,synthetic_xor,43,classification,baseline,lightgbm,ok,accuracy,1.0,0.2132,0.0459,1024,20,,,
CatBoost,synthetic_xor,43,classification,baseline,catboost,ok,accuracy,1.0,2.3674,0.0109,1024,20,,,
TST-v0,synthetic_xor,43,classification,ablation,TST-v0,ok,accuracy,0.526829,6.7209,0.0303,1024,20,,,
TST-v1-Gate,synthetic_xor,43,classification,ablation,TST-v1-Gate,ok,accuracy,0.526829,7.2615,0.0223,1024,20,,,
TST-v2-GateFourier,synthetic_xor,43,classification,ablation,TST-v2-GateFourier,ok,accuracy,0.526829,6.9627,0.0286,1024,20,,,
TST-v3-MoE,synthetic_xor,43,classification,ablation,TST-v3-MoE,ok,accuracy,0.526829,6.8718,0.0249,1024,20,,,
Linear/Ridge,synthetic_piecewise,43,regression,baseline,linear,ok,rmse,0.737068,0.0121,0.0011,1024,20,,,
Random Forest,synthetic_piecewise,43,regression,baseline,random_forest,ok,rmse,0.223516,0.201,0.0046,1024,20,,,
Gradient Boosting,synthetic_piecewise,43,regression,baseline,gradient_boosting,ok,rmse,0.147789,0.2329,0.0018,1024,20,,,
MLP,synthetic_piecewise,43,regression,baseline,mlp,ok,rmse,0.783063,0.06,0.0021,1024,20,,,
LightGBM,synthetic_piecewise,43,regression,baseline,lightgbm,ok,rmse,0.213925,0.0552,0.0049,1024,20,,,
CatBoost,synthetic_piecewise,43,regression,baseline,catboost,ok,rmse,0.154311,1.4854,0.0043,1024,20,,,
TST-v0,synthetic_piecewise,43,regression,ablation,TST-v0,ok,rmse,0.800162,9.0662,0.0227,1024,20,,,
TST-v1-Gate,synthetic_piecewise,43,regression,ablation,TST-v1-Gate,ok,rmse,0.79978,11.5099,0.0242,1024,20,,,
TST-v2-GateFourier,synthetic_piecewise,43,regression,ablation,TST-v2-GateFourier,ok,rmse,0.803388,12.1412,0.0251,1024,20,,,
